SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2794543	515.10	395.60	0	0
2794544	514.30	396.10	0	0
2794545	514.30	396.20	0	0
2794546	514.30	396.30	0	0
2794547	514.50	396.50	0	0
2794548	514.90	396.40	0	0
2794549	515.10	396.10	0	0
2794550	515.20	395.50	0	0
2794551	515.20	395.20	0	0
2794552	515.20	395.50	0	0
2794553	515.20	396.20	0	0
2794554	515.10	396.40	0	0
2794555	514.90	395.90	0	0
2794556	515.00	395.90	0	0
2794557	515.30	395.90	0	0
2794558	515.50	396.00	0	0
2794559	515.90	395.60	0	0
2794560	516.20	395.80	0	0
2794561	516.50	395.80	0	0
2794562	516.50	395.90	0	0
2794563	516.50	395.70	0	0
2794564	516.70	395.40	0	0
2794565	516.80	395.10	0	0
2794566	516.90	395.30	0	0
2794567	516.80	395.60	0	0
2794568	516.50	396.00	0	0
2794569	516.30	396.40	0	0
2794570	516.10	396.60	0	0
2794571	515.80	396.80	0	0
2794572	515.70	397.10	0	0
2794573	515.50	397.40	0	0
2794574	515.40	397.40	0	0
2794575	516.10	397.20	0	0
2794576	516.40	396.10	0	0
2794577	516.80	395.20	0	0
2794578	516.50	394.50	0	0
2794579	516.10	395.10	0	0
2794580	516.00	395.60	0	0
2794581	515.90	396.00	0	0
2794582	516.10	395.60	0	0
2794583	515.80	395.20	0	0
2794584	515.60	394.80	0	0
2794585	515.40	394.90	0	0
2794586	515.40	395.10	0	0
2794587	515.40	394.90	0	0
2794588	515.50	394.60	0	0
2794589	515.50	395.40	0	0
2794590	515.70	396.40	0	0
2794591	516.00	396.90	0	0
2794592	516.30	396.30	0	0
2794593	516.40	395.70	0	0
2794594	516.30	395.80	0	0
2794595	516.10	395.70	0	0
2794596	515.90	395.60	0	0
2794597	515.80	395.30	0	0
2794598	515.50	395.30	0	0
2794599	515.30	395.90	0	0
2794600	515.00	396.50	0	0
2794601	514.90	397.30	0	0
2794602	514.70	397.40	0	0
2794603	514.60	396.20	0	0
2794604	514.50	394.80	0	0
2794605	514.60	393.50	0	0
2794606	514.60	393.90	0	0
2794607	514.60	394.70	0	0
2794608	514.80	395.40	0	0
2794609	515.00	395.30	0	0
2794610	515.40	394.90	0	0
2794611	515.90	394.30	0	0
